ds,ip,y,yhat,yhat_upper,yhat_lower,training_date
2022-02-24 08:00:00,187.44.158.33,4.0,4.019630482808132,4.5542268902057135,3.4556516624252693,2023-03-08
2022-02-24 08:00:00,229.46.205.74,20.0,20.033047937573787,39.86533096436359,-1.2230823355130491,2023-03-08
2022-02-24 08:00:00,46.39.79.251,3.0,3.016081907687585,3.428483034062314,2.580665429929658,2023-03-08
2022-02-24 09:00:00,187.44.158.33,4.0,3.876036691681893,4.470080711214834,3.3218019559119223,2023-03-08
2022-02-24 09:00:00,229.46.205.74,60.0,60.81059627394318,83.59889020454254,39.04866744956813,2023-03-08
2022-02-24 09:00:00,46.39.79.251,3.0,2.91351324124643,3.3527860306428745,2.471435887522534,2023-03-08
2022-02-24 10:00:00,187.44.158.33,4.0,4.310032262756927,4.918105239181804,3.7780468958559097,2023-03-08
2022-02-24 10:00:00,46.39.79.251,2.0,2.2207618758738694,2.643727591450097,1.7739269219908602,2023-03-08
2022-02-24 10:00:00,229.46.205.74,66.0,60.79070594983266,82.34409926987861,40.0661625365735,2023-03-08
2022-02-24 11:00:00,46.39.79.251,3.0,2.6450033006825606,3.0556952406629145,2.22802585108698,2023-03-08
2022-02-24 11:00:00,229.46.205.74,51.0,63.59675990021711,84.57453289702434,41.92663195000757,2023-03-08
2022-02-24 11:00:00,187.44.158.33,6.0,5.505925393466434,6.053584374697381,4.911793009738132,2023-03-08
2022-02-24 12:00:00,229.46.205.74,77.0,57.92513896698745,80.59604452727795,39.034587283295416,2023-03-08
2022-02-24 12:00:00,187.44.158.33,4.0,4.517651274184552,5.0899852245183785,3.940681387196245,2023-03-08
2022-02-24 12:00:00,46.39.79.251,2.0,2.38425568892325,2.8037315558402947,1.9724329932964089,2023-03-08
2022-02-24 13:00:00,187.44.158.33,4.0,3.6262857570511153,4.170021419818929,3.092579007211336,2023-03-08
2022-02-24 13:00:00,229.46.205.74,16.0,34.59106929115459,55.44185518639515,12.670923902232284,2023-03-08
2022-02-24 13:00:00,46.39.79.251,2.0,1.714772693386504,2.1394434549825823,1.2830950921273234,2023-03-08
2022-02-24 14:00:00,46.39.79.251,2.0,2.1383905811400705,2.544141582994619,1.7059473484351793,2023-03-08
2022-02-24 14:00:00,187.44.158.33,4.0,4.166633616977735,4.744821096468025,3.606929783043919,2023-03-08
2022-02-24 14:00:00,229.46.205.74,29.0,16.997901242625925,37.64277232880792,-3.478404422287227,2023-03-08
2022-02-24 15:00:00,46.39.79.251,3.0,2.957732988232672,3.3961733296093555,2.5331629242925766,2023-03-08
2022-02-24 15:00:00,229.46.205.74,21.0,25.663691748058845,47.6385658128202,4.009851826344427,2023-03-08
2022-02-24 15:00:00,187.44.158.33,4.0,3.961597424191346,4.523198580060852,3.4375640804054086,2023-03-08
2022-02-24 16:00:00,229.46.205.74,39.0,38.01622634857143,58.316983225375886,17.577420165122174,2023-03-08
2022-02-24 16:00:00,46.39.79.251,2.0,2.001702748761604,2.4326827545862604,1.5566765322378164,2023-03-08
2022-02-24 16:00:00,187.44.158.33,4.0,3.995064178883869,4.518453048722297,3.4393485099991143,2023-03-08
2022-02-24 17:00:00,46.39.79.251,,-0.2120908259117293,0.2449357899336242,-0.6404948719998762,2023-03-08
2022-02-24 17:00:00,229.46.205.74,,12.320601147116744,33.39114355403117,-9.040928435910326,2023-03-08
2022-02-24 17:00:00,187.44.158.33,5.0,5.00052757928378,5.562210481758737,4.42437741777608,2023-03-08
2022-02-24 18:00:00,46.39.79.251,,-0.0656892651462774,0.3807385366672868,-0.4849090427592421,2023-03-08
2022-02-24 18:00:00,229.46.205.74,,-46.86823349781452,-23.73228186285869,-67.20951000970382,2023-03-08
2022-02-24 18:00:00,187.44.158.33,,-18.778414490008235,-18.2372560907662,-19.32806250639919,2023-03-08
2022-02-25 08:00:00,229.46.205.74,,-73.23386536288976,-51.88820939206767,-94.4259022759734,2023-03-08
2022-02-25 08:00:00,46.39.79.251,,2.873451040912528,3.2905150286071745,2.463784453948884,2023-03-08
2022-02-25 08:00:00,187.44.158.33,,-140.4266438430283,-139.83881783842813,-141.0127353387655,2023-03-08
2022-02-25 09:00:00,187.44.158.33,,-444.7387433733139,-444.1822647722126,-445.2629579183702,2023-03-08
2022-02-25 09:00:00,46.39.79.251,,0.2715754234224763,0.6652515446371463,-0.1868813837252051,2023-03-08
2022-02-25 09:00:00,229.46.205.74,,-14.10783129310006,8.408842914727598,-34.41570998307836,2023-03-08
2022-02-25 10:00:00,187.44.158.33,,-928.4238662965656,-927.9041999922524,-928.9869691367636,2023-03-08
2022-02-25 10:00:00,229.46.205.74,,80.98120091208224,102.47780219514888,59.89901735443446,2023-03-08
2022-02-25 10:00:00,46.39.79.251,,-19.87056462939585,-19.43739129281336,-20.27341139958192,2023-03-08
2022-02-25 11:00:00,46.39.79.251,,-58.50763243818223,-58.05198941684512,-58.930602220782575,2023-03-08
2022-02-25 11:00:00,229.46.205.74,,77.10492526039671,98.283793308881,55.10433080110207,2023-03-08
2022-02-25 11:00:00,187.44.158.33,,-1412.2684480412,-1411.722104470438,-1412.856024869844,2023-03-08
2022-02-25 12:00:00,229.46.205.74,,-109.66991834125268,-89.18766273526926,-131.55420406108766,2023-03-08
2022-02-25 12:00:00,46.39.79.251,,-95.90669734742104,-95.50365424303604,-96.33797983772612,2023-03-08
2022-02-25 12:00:00,187.44.158.33,,-1575.124416934814,-1574.540918432427,-1575.6925671504123,2023-03-08
2022-02-25 13:00:00,187.44.158.33,,-1140.5188547423377,-1139.9764274952724,-1141.0748019288185,2023-03-08
