src_ip,unq_dst_ip,allow,drop,frequency,pkts_sent,pkts_received,bytesin,bytesout,unq_dst_port,timestamp
46.39.79.251,3,8,2,10,56,41,8397,17938,2,2022-01-04 18:00:00
229.46.205.74,40,157,43,200,9348,16328,911362,20188719,4,2022-01-04 18:00:00
187.44.158.33,5,45,11,56,161,127,24777,56928,4,2022-01-05 08:00:00
46.39.79.251,2,3,0,3,20,13,2599,7054,2,2022-01-05 08:00:00
229.46.205.74,42,179,64,243,2468,3459,444861,3369887,4,2022-01-05 08:00:00
46.39.79.251,2,4,0,4,21,18,2713,7396,2,2022-01-05 09:00:00
229.46.205.74,37,139,53,192,5110,4977,442569,714328,5,2022-01-05 09:00:00
187.44.158.33,11,85,20,105,3704,6986,336201,10348953,4,2022-01-05 09:00:00
187.44.158.33,4,45,10,55,132,83,11671,8717,3,2022-01-05 10:00:00
46.39.79.251,2,4,0,4,22,16,2767,7264,2,2022-01-05 10:00:00
229.46.205.74,31,111,44,155,1160,1379,200421,1152807,4,2022-01-05 10:00:00
46.39.79.251,3,6,1,7,40,31,5430,13359,2,2022-01-05 11:00:00
229.46.205.74,26,92,35,127,853,760,144280,237408,5,2022-01-05 11:00:00
187.44.158.33,5,50,9,59,140,75,12146,7807,4,2022-01-05 11:00:00
229.46.205.74,34,172,60,232,2720,3713,553474,3520633,4,2022-01-05 12:00:00
46.39.79.251,3,7,2,9,53,38,8175,17715,2,2022-01-05 12:00:00
187.44.158.33,5,46,7,53,133,75,13809,11431,4,2022-01-05 12:00:00
229.46.205.74,35,136,59,195,917,782,180599,356237,4,2022-01-05 13:00:00
46.39.79.251,2,4,0,4,22,16,2767,7264,2,2022-01-05 13:00:00
187.44.158.33,7,55,14,69,228,117,24569,24426,4,2022-01-05 13:00:00
46.39.79.251,2,4,0,4,21,14,2689,7144,2,2022-01-05 14:00:00
229.46.205.74,35,123,46,169,1551,2184,220995,2069955,4,2022-01-05 14:00:00
187.44.158.33,4,47,9,56,132,71,12482,7358,3,2022-01-05 14:00:00
229.46.205.74,28,98,39,137,696,619,152942,219492,4,2022-01-05 15:00:00
187.44.158.33,5,52,11,63,174,91,17562,19545,4,2022-01-05 15:00:00
46.39.79.251,2,4,0,4,19,14,2538,7144,2,2022-01-05 15:00:00
187.44.158.33,4,42,10,52,144,77,13059,7908,3,2022-01-05 16:00:00
46.39.79.251,2,3,0,3,18,13,2448,7054,2,2022-01-05 16:00:00
229.46.205.74,34,116,43,159,879,804,163032,327508,4,2022-01-05 16:00:00
46.39.79.251,4,10,8,18,7662,11643,618560,17582616,3,2022-01-05 17:00:00
187.44.158.33,5,51,10,61,169,124,26007,56754,4,2022-01-05 17:00:00
229.46.205.74,106,625,244,869,20164,36378,2232757,31113342,5,2022-01-05 17:00:00
187.44.158.33,4,45,10,55,127,81,11116,8410,3,2022-01-05 18:00:00
46.39.79.251,3,8,2,10,55,41,8343,17926,2,2022-01-05 18:00:00
229.46.205.74,33,130,47,177,878,718,199958,253838,4,2022-01-05 18:00:00
46.39.79.251,2,4,0,4,22,16,2767,7264,2,2022-01-06 08:00:00
187.44.158.33,4,46,9,55,134,71,12154,7327,3,2022-01-06 08:00:00
229.46.205.74,67,682,237,919,73371,189279,6352158,238642393,4,2022-01-06 08:00:00
46.39.79.251,3,7,1,8,43,29,6143,13220,2,2022-01-06 09:00:00
187.44.158.33,4,44,10,54,120,82,10572,8397,3,2022-01-06 09:00:00
229.46.205.74,55,536,205,741,7107,9351,1024771,9344907,4,2022-01-06 09:00:00
46.39.79.251,2,3,0,3,18,13,2448,7054,2,2022-01-06 10:00:00
187.44.158.33,5,51,11,62,153,89,14388,9272,4,2022-01-06 10:00:00
229.46.205.74,41,187,63,250,1301,1340,265831,821431,4,2022-01-06 10:00:00
229.46.205.74,45,193,72,265,1714,1923,493893,1184217,4,2022-01-06 11:00:00
46.39.79.251,2,3,0,3,21,15,2677,7174,2,2022-01-06 11:00:00
187.44.158.33,12,86,21,107,3090,6360,268703,9394069,5,2022-01-06 11:00:00
229.46.205.74,28,131,49,180,841,731,192231,257219,4,2022-01-06 12:00:00
187.44.158.33,6,51,13,64,1496786,3142515,103818522,4754841614,5,2022-01-06 12:00:00
46.39.79.251,4,10,3,13,72,53,10838,23804,2,2022-01-06 12:00:00
229.46.205.74,39,160,53,213,997,845,215448,288486,4,2022-01-06 13:00:00
187.44.158.33,6,46,13,59,178,105,17282,19744,4,2022-01-06 13:00:00
46.39.79.251,2,4,0,4,22,16,2767,7264,2,2022-01-06 13:00:00
229.46.205.74,41,178,68,246,1152,983,243309,418597,4,2022-01-06 14:00:00
187.44.158.33,4,31,11,42,117,72,10322,6897,3,2022-01-06 14:00:00
46.39.79.251,2,3,0,3,21,15,2677,7174,2,2022-01-06 14:00:00
46.39.79.251,2,3,0,3,21,15,2677,7174,2,2022-01-06 15:00:00
187.44.158.33,4,29,11,40,154,107,24352,54259,3,2022-01-06 15:00:00
229.46.205.74,33,131,45,176,855,711,186831,237332,4,2022-01-06 15:00:00
229.46.205.74,59,1267,428,1695,143018,356273,12465094,452181462,4,2022-01-06 16:00:00
46.39.79.251,2,4,0,4,22,17,2779,7330,2,2022-01-06 16:00:00
187.44.158.33,3,26,9,35,106,59,9227,5578,2,2022-01-06 16:00:00
46.39.79.251,2,16,0,16,141,97,18463,67394,2,2022-01-06 17:00:00
187.44.158.33,3,26,10,36,107,65,9672,6138,2,2022-01-06 17:00:00
229.46.205.74,48,454,154,608,115008,295360,9491964,380903868,4,2022-01-06 17:00:00
187.44.158.33,4,30,12,42,136,74,13663,11514,3,2022-01-06 18:00:00
46.39.79.251,3,8,2,10,54,40,8237,14999,2,2022-01-06 18:00:00
229.46.205.74,31,146,43,189,980,786,199272,249195,3,2022-01-06 18:00:00
187.44.158.33,4,27,10,37,173,96,26271,53117,3,2022-01-07 08:00:00
229.46.205.74,53,439,154,593,10473,19404,1080836,23150517,4,2022-01-07 08:00:00
46.39.79.251,3,17,1,18,149,118,19690,68871,2,2022-01-07 08:00:00
46.39.79.251,3,6,0,6,53,54,10041,27581,2,2022-01-07 09:00:00
229.46.205.74,56,518,184,702,18300,44052,2092008,54393121,4,2022-01-07 09:00:00
187.44.158.33,3,26,10,36,120,60,11017,5502,2,2022-01-07 09:00:00
46.39.79.251,7,19,0,19,1904,1140,2365659,178928,3,2022-01-07 10:00:00
229.46.205.74,57,1224,412,1636,165838,410400,14343042,528008405,4,2022-01-07 10:00:00
187.44.158.33,3,28,11,39,114,68,10162,6340,2,2022-01-07 10:00:00
229.46.205.74,45,1146,390,1536,128676,340937,11165945,437858287,4,2022-01-07 11:00:00
187.44.158.33,3,26,11,37,122,70,11038,6488,2,2022-01-07 11:00:00
46.39.79.251,2,3,0,3,21,15,2677,7174,2,2022-01-07 11:00:00
187.44.158.33,5,30,11,41,4009,8167,283562,12195789,4,2022-01-07 12:00:00
46.39.79.251,3,8,2,10,55,43,8343,15198,2,2022-01-07 12:00:00
229.46.205.74,45,999,342,1341,146720,306901,12711752,394587815,4,2022-01-07 12:00:00
187.44.158.33,7,33,12,45,660373,1390386,45129261,2104034851,4,2022-01-07 13:00:00
46.39.79.251,2,4,0,4,19,14,2538,7144,2,2022-01-07 13:00:00
229.46.205.74,46,1117,378,1495,130507,368475,11120405,474104325,4,2022-01-07 13:00:00
229.46.205.74,131,2058,692,2750,185622,414187,16622430,529219984,4,2022-01-07 14:00:00
46.39.79.251,2,4,0,4,21,16,2701,7264,2,2022-01-07 14:00:00
187.44.158.33,4,27,9,36,106,58,9374,5360,3,2022-01-07 14:00:00
46.39.79.251,2,3,0,3,20,15,2599,7186,2,2022-01-07 15:00:00
187.44.158.33,10,46,22,68,10417,20741,834289,31177666,4,2022-01-07 15:00:00
229.46.205.74,44,424,146,570,90454,211277,7582789,272211665,4,2022-01-07 15:00:00
229.46.205.74,46,635,219,854,50113,135966,4569383,173556615,4,2022-01-07 16:00:00
46.39.79.251,2,4,0,4,22,16,2767,7264,2,2022-01-07 16:00:00
187.44.158.33,3,26,12,38,131,70,12541,6458,2,2022-01-07 16:00:00
187.44.158.33,3,26,11,37,117,68,10131,6340,2,2022-01-07 17:00:00
46.39.79.251,2,16,0,16,146,118,18847,68863,2,2022-01-07 17:00:00
229.46.205.74,52,505,172,677,52842,143542,4731925,184002967,4,2022-01-07 17:00:00
46.39.79.251,3,8,2,10,56,42,8369,17992,2,2022-01-07 18:00:00
229.46.205.74,49,743,256,999,79355,193213,6828565,237950434,4,2022-01-07 18:00:00
187.44.158.33,3,26,11,37,125,65,11829,5988,2,2022-01-07 18:00:00
187.44.158.33,3,28,11,39,140,67,12362,6250,2,2022-01-10 08:00:00
229.46.205.74,47,181,68,249,2706,3647,406406,3676048,4,2022-01-10 08:00:00
46.39.79.251,2,4,0,4,22,16,2767,7264,2,2022-01-10 08:00:00
229.46.205.74,118,1086,470,1556,21124,40269,3155115,43459775,4,2022-01-10 09:00:00
46.39.79.251,3,18,1,19,155,114,22688,77527,2,2022-01-10 09:00:00
187.44.158.33,3,26,9,35,116,56,10271,5220,2,2022-01-10 09:00:00
229.46.205.74,57,635,232,867,125542,132063,8961355,36374906,4,2022-01-10 10:00:00
46.39.79.251,2,4,0,4,22,17,2779,7330,2,2022-01-10 10:00:00
187.44.158.33,3,26,10,36,128,56,12344,5076,2,2022-01-10 10:00:00
187.44.158.33,5,34,12,46,230,138,53186,67278,3,2022-01-10 11:00:00
