src_ip,unq_dst_ip,allow,drop,frequency,pkts_sent,pkts_received,bytesin,bytesout,unq_dst_port,timestamp
229.46.205.74,34,200,71,271,134295,250287,15065454,310581954,4,2022-02-01 15:00:00
46.39.79.251,3,6,1,7,47,31,10010,13428,2,2022-02-01 15:00:00
187.44.158.33,8,58,26,84,4531,7960,430462,11717202,3,2022-02-01 16:00:00
229.46.205.74,74,1300,446,1746,221490,419547,26945555,484770001,5,2022-02-01 16:00:00
46.39.79.251,3,7,2,9,41,31,6588,11115,2,2022-02-01 16:00:00
46.39.79.251,2,4,0,4,23,17,2833,7418,2,2022-02-01 17:00:00
229.46.205.74,172,4234,1948,6182,168652,292626,21107918,342806196,5,2022-02-01 17:00:00
187.44.158.33,7,35,14,49,373873,771947,30246318,1163004807,4,2022-02-01 17:00:00
229.46.205.74,18,65,21,86,4186,5558,2221835,1525691,3,2022-02-01 18:00:00
46.39.79.251,2,3,0,3,19,14,2514,7208,2,2022-02-01 18:00:00
187.44.158.33,4,34,14,48,195,116,23654,25415,3,2022-02-01 18:00:00
229.46.205.74,21,78,29,107,4680,6155,2434585,1847748,3,2022-02-02 08:00:00
46.39.79.251,2,3,0,3,19,14,2514,7208,2,2022-02-02 08:00:00
187.44.158.33,3,25,11,36,109,67,9989,6250,2,2022-02-02 08:00:00
187.44.158.33,4,26,10,36,122,61,11285,5562,3,2022-02-02 09:00:00
46.39.79.251,2,3,0,3,20,16,2193,7344,2,2022-02-02 09:00:00
229.46.205.74,59,1210,444,1654,83824,150014,10471251,181253792,5,2022-02-02 09:00:00
46.39.79.251,3,8,2,10,60,51,8725,22763,2,2022-02-02 10:00:00
229.46.205.74,43,1495,500,1995,168317,311459,20516694,380543993,4,2022-02-02 10:00:00
187.44.158.33,3,27,9,36,106,57,9468,5310,2,2022-02-02 10:00:00
229.46.205.74,72,1082,373,1455,69064,134946,8660272,163684178,4,2022-02-02 11:00:00
187.44.158.33,3,21,8,29,119,90,21141,52651,2,2022-02-02 11:00:00
46.39.79.251,1,1,0,1,1,1,90,90,1,2022-02-02 11:00:00
229.46.205.74,19,90,31,121,9435,12904,4669029,4074224,3,2022-02-02 12:00:00
46.39.79.251,3,6,1,7,41,28,5475,13218,2,2022-02-02 12:00:00
187.44.158.33,4,26,13,39,130,72,12589,6598,3,2022-02-02 12:00:00
187.44.158.33,6,53,23,76,846,1133,86621,1388532,3,2022-02-02 13:00:00
46.39.79.251,2,4,0,4,22,15,2755,7298,2,2022-02-02 13:00:00
229.46.205.74,24,90,34,124,106050,188897,12794925,223348836,4,2022-02-02 13:00:00
229.46.205.74,35,809,269,1078,318444,626305,33199103,782275491,5,2022-02-02 14:00:00
46.39.79.251,2,7,0,7,94,74,10969,48876,2,2022-02-02 14:00:00
187.44.158.33,5,40,16,56,305,261,38609,182393,3,2022-02-02 14:00:00
229.46.205.74,66,1639,563,2202,354408,636179,30320864,806878965,5,2022-02-02 15:00:00
187.44.158.33,13,59,37,96,42055,80822,3835139,122121547,3,2022-02-02 15:00:00
46.39.79.251,2,4,0,4,22,15,2755,7298,2,2022-02-02 15:00:00
46.39.79.251,3,7,2,9,56,42,8345,18058,2,2022-02-02 16:00:00
187.44.158.33,5,29,12,41,179,128,29469,63951,3,2022-02-02 16:00:00
229.46.205.74,80,1831,669,2500,283741,573323,28984445,693730422,5,2022-02-02 16:00:00
229.46.205.74,35,401,143,544,248839,367456,17062641,464757196,5,2022-02-02 17:00:00
46.39.79.251,2,3,0,3,22,16,2743,7328,2,2022-02-02 17:00:00
187.44.158.33,3,27,11,38,111,69,9845,6400,2,2022-02-02 17:00:00
229.46.205.74,29,133,46,179,129208,240529,13768879,299686645,4,2022-02-02 18:00:00
187.44.158.33,5,30,14,44,149,96,17073,16639,3,2022-02-02 18:00:00
46.39.79.251,2,4,0,4,22,15,2755,7298,2,2022-02-02 18:00:00
46.39.79.251,2,4,0,4,23,17,2833,7418,2,2022-02-03 08:00:00
187.44.158.33,3,26,9,35,103,53,9262,4868,2,2022-02-03 08:00:00
229.46.205.74,76,1933,1134,3067,117980,185920,12491234,227955072,4,2022-02-03 08:00:00
46.39.79.251,3,20,2,22,190,168,27902,93898,2,2022-02-03 09:00:00
229.46.205.74,90,1269,438,1707,398528,722316,32239423,884994280,5,2022-02-03 09:00:00
187.44.158.33,3,27,11,38,132,65,11897,5988,2,2022-02-03 09:00:00
187.44.158.33,4,26,9,35,110,57,9765,5264,3,2022-02-03 10:00:00
229.46.205.74,32,935,311,1246,427527,719748,32167063,923713982,5,2022-02-03 10:00:00
46.39.79.251,3,8,2,10,58,44,8541,18211,2,2022-02-03 10:00:00
187.44.158.33,5,31,13,44,186,135,30680,60554,3,2022-02-03 11:00:00
229.46.205.74,88,1609,563,2172,296060,467032,28357346,586151707,5,2022-02-03 11:00:00
46.39.79.251,2,3,0,3,21,15,2677,8722,2,2022-02-03 11:00:00
187.44.158.33,9,46,25,71,3080,6523,272142,9703361,3,2022-02-03 12:00:00
229.46.205.74,84,688,282,970,153217,271389,16832038,331051440,5,2022-02-03 12:00:00
46.39.79.251,2,4,0,4,20,15,2604,7298,2,2022-02-03 12:00:00
229.46.205.74,96,1519,553,2072,329507,575854,30632387,725617236,5,2022-02-03 13:00:00
46.39.79.251,2,5,0,5,24,18,2923,7508,2,2022-02-03 13:00:00
187.44.158.33,4,28,8,36,126,92,21684,52931,3,2022-02-03 13:00:00
229.46.205.74,45,886,303,1189,181682,275498,16580987,346108048,5,2022-02-03 14:00:00
46.39.79.251,2,4,0,4,23,17,2833,7418,2,2022-02-03 14:00:00
187.44.158.33,4,26,10,36,130,64,13118,10510,3,2022-02-03 14:00:00
187.44.158.33,9,137,66,203,1013,739,221306,348747,3,2022-02-03 15:00:00
46.39.79.251,2,3,0,3,22,17,2743,7394,2,2022-02-03 15:00:00
229.46.205.74,61,1209,406,1615,275180,499003,27504812,627902316,5,2022-02-03 15:00:00
187.44.158.33,6,40,18,58,2248,3482,187186,4859919,3,2022-02-03 16:00:00
229.46.205.74,20,73,24,97,510,423,105411,128109,4,2022-02-03 16:00:00
46.39.79.251,3,8,2,10,61,53,9224,20051,2,2022-02-03 16:00:00
46.39.79.251,4,17,10,27,9017,11674,782348,17533623,3,2022-02-03 17:00:00
187.44.158.33,5,72,33,105,1472,2101,158520,2626865,3,2022-02-03 17:00:00
229.46.205.74,16,62,21,83,5560,7483,2289377,3912962,4,2022-02-03 17:00:00
187.44.158.33,6,41,20,61,243,170,34178,47329,3,2022-02-03 18:00:00
46.39.79.251,3,6,1,7,42,31,6595,13428,2,2022-02-03 18:00:00
229.46.205.74,33,142,52,194,3618,4590,1370638,2253611,5,2022-02-03 18:00:00
46.39.79.251,4,26,1,27,1189,769,1303019,173893,3,2022-02-04 08:00:00
187.44.158.33,4,29,11,40,162,109,24796,54419,3,2022-02-04 08:00:00
229.46.205.74,98,1027,391,1418,40353,60427,8553499,61585672,4,2022-02-04 08:00:00
46.39.79.251,3,10,0,10,785,483,965348,76008,3,2022-02-04 09:00:00
187.44.158.33,6,36,14,50,178,117,21737,26438,4,2022-02-04 09:00:00
229.46.205.74,80,1217,447,1664,78194,138135,11528275,162230974,4,2022-02-04 09:00:00
229.46.205.74,33,962,327,1289,124504,177057,14470581,214732109,4,2022-02-04 10:00:00
46.39.79.251,3,8,2,10,53,41,8752,15382,2,2022-02-04 10:00:00
187.44.158.33,4,36,16,52,206,146,27119,40253,3,2022-02-04 10:00:00
229.46.205.74,106,1985,730,2715,303723,471589,28022254,519344655,5,2022-02-04 11:00:00
46.39.79.251,2,4,0,4,24,19,3125,8151,2,2022-02-04 11:00:00
187.44.158.33,4,29,10,39,142,85,15156,11709,3,2022-02-04 11:00:00
46.39.79.251,3,5,1,6,39,35,5864,14903,2,2022-02-04 12:00:00
229.46.205.74,41,143,52,195,22330,22692,1658657,3329064,4,2022-02-04 12:00:00
187.44.158.33,5,26,9,35,824,593,160785,280337,4,2022-02-04 12:00:00
46.39.79.251,2,4,0,4,22,15,2755,7298,2,2022-02-04 13:00:00
187.44.158.33,3,25,11,36,118,70,10489,6458,2,2022-02-04 13:00:00
229.46.205.74,23,70,22,92,540,456,113195,142708,4,2022-02-04 13:00:00
229.46.205.74,67,263,109,372,5632,9425,675771,10673864,4,2022-02-04 14:00:00
187.44.158.33,3,27,10,37,142,55,14257,4864,2,2022-02-04 14:00:00
46.39.79.251,2,4,0,4,23,17,2833,7418,2,2022-02-04 14:00:00
46.39.79.251,2,4,0,4,23,17,2833,7418,2,2022-02-04 15:00:00
229.46.205.74,47,139,44,183,6583,8546,939685,6349282,4,2022-02-04 15:00:00
187.44.158.33,5,32,11,43,140,76,13458,17158,4,2022-02-04 15:00:00
46.39.79.251,3,7,2,9,52,41,8090,18001,2,2022-02-04 16:00:00
187.44.158.33,10,46,26,72,3212,6874,284686,10234621,3,2022-02-04 16:00:00
229.46.205.74,67,1186,414,1600,36222,69895,4436503,80420063,4,2022-02-04 16:00:00
187.44.158.33,3,24,9,33,128,58,12115,4934,2,2022-02-04 17:00:00
46.39.79.251,2,4,0,4,23,18,2869,8932,2,2022-02-04 17:00:00
229.46.205.74,141,2424,831,3255,134387,236151,15498262,288955452,4,2022-02-04 17:00:00
187.44.158.33,5,30,11,41,159,114,28275,59731,3,2022-02-04 18:00:00
229.46.205.74,56,544,195,739,51494,92234,5413838,106486972,5,2022-02-04 18:00:00
46.39.79.251,2,4,0,4,23,17,2833,7418,2,2022-02-04 18:00:00
229.46.205.74,34,117,44,161,779,626,170499,182543,4,2022-02-07 08:00:00
187.44.158.33,3,26,9,35,98,56,8726,5220,2,2022-02-07 08:00:00
46.39.79.251,3,6,1,7,46,29,8415,13307,2,2022-02-07 08:00:00
46.39.79.251,2,4,0,4,23,18,2845,7484,2,2022-02-07 09:00:00
229.46.205.74,102,2450,864,3314,223959,382693,23542788,474291497,5,2022-02-07 09:00:00
187.44.158.33,5,29,11,40,152,80,14966,17458,4,2022-02-07 09:00:00
229.46.205.74,82,1587,535,2122,439735,658529,35777266,821445650,5,2022-02-07 10:00:00
46.39.79.251,3,9,2,11,73,62,12169,29750,2,2022-02-07 10:00:00
187.44.158.33,3,23,9,32,107,49,9570,4580,2,2022-02-07 10:00:00
229.46.205.74,123,1316,498,1814,466623,704677,33038306,905772355,5,2022-02-07 11:00:00
187.44.158.33,4,28,11,39,144,76,15613,10561,3,2022-02-07 11:00:00
46.39.79.251,2,3,0,3,22,16,2743,7328,2,2022-02-07 11:00:00
229.46.205.74,45,1002,337,1339,462103,613143,33662020,786722905,5,2022-02-07 12:00:00
187.44.158.33,3,27,11,38,136,70,12374,6460,2,2022-02-07 12:00:00
46.39.79.251,2,4,0,4,23,17,2833,7418,2,2022-02-07 12:00:00
187.44.158.33,5,29,9,38,145917,300107,10735634,451364304,4,2022-02-07 13:00:00
229.46.205.74,65,1218,496,1714,224184,422998,19020717,540014432,4,2022-02-07 13:00:00
46.39.79.251,2,4,0,4,23,17,2833,7418,2,2022-02-07 13:00:00
46.39.79.251,2,4,0,4,23,17,2833,7418,2,2022-02-07 14:00:00
187.44.158.33,7,33,10,43,762,1011,64837,1365266,4,2022-02-07 14:00:00
229.46.205.74,38,208,66,274,9792,13975,4264719,8085359,4,2022-02-07 14:00:00
46.39.79.251,2,4,0,4,23,17,2833,7418,2,2022-02-07 15:00:00
229.46.205.74,68,770,260,1030,53369,72285,6379729,83771364,4,2022-02-07 15:00:00
187.44.158.33,3,25,10,35,121,58,10988,5338,2,2022-02-07 15:00:00
229.46.205.74,23,96,31,127,51810,98879,5236023,100319140,5,2022-02-07 16:00:00
46.39.79.251,3,7,2,9,55,41,8239,17990,2,2022-02-07 16:00:00
187.44.158.33,4,26,11,37,153,110,24588,54681,3,2022-02-07 16:00:00
46.39.79.251,2,17,0,17,145,106,18787,68592,2,2022-02-07 17:00:00
229.46.205.74,21,71,23,94,4201,5788,2335040,1561572,3,2022-02-07 17:00:00
187.44.158.33,10,49,35,84,2983,4876,250098,7193629,3,2022-02-07 17:00:00
229.46.205.74,21,90,30,120,4274,5630,2332922,1570396,4,2022-02-07 18:00:00
46.39.79.251,2,4,0,4,20,15,2604,7298,2,2022-02-07 18:00:00
187.44.158.33,3,27,12,39,136,73,12824,6810,2,2022-02-07 18:00:00
46.39.79.251,2,3,0,3,22,16,2743,7328,2,2022-02-08 08:00:00
229.46.205.74,31,430,139,569,5786,6282,2650035,1701754,4,2022-02-08 08:00:00
187.44.158.33,3,26,10,36,120,59,10930,5428,2,2022-02-08 08:00:00
46.39.79.251,2,5,0,5,24,17,2923,7418,2,2022-02-08 09:00:00
229.46.205.74,83,1807,629,2436,259906,564196,22749921,533163470,5,2022-02-08 09:00:00
187.44.158.33,3,26,12,38,140,65,13887,5844,2,2022-02-08 09:00:00
46.39.79.251,3,8,2,10,59,45,8601,18291,2,2022-02-08 10:00:00
229.46.205.74,83,1823,619,2442,411422,598291,33651537,761932395,4,2022-02-08 10:00:00
187.44.158.33,3,25,10,35,130,63,12235,5844,2,2022-02-08 10:00:00
229.46.205.74,43,1609,532,2141,239496,375395,20211655,474815278,4,2022-02-08 11:00:00
187.44.158.33,4,30,12,42,152,86,16319,11416,3,2022-02-08 11:00:00
46.39.79.251,2,4,0,4,23,17,2833,7418,2,2022-02-08 11:00:00
187.44.158.33,3,26,11,37,132,65,12300,5988,2,2022-02-08 12:00:00
46.39.79.251,3,8,1,9,45,33,5778,13559,2,2022-02-08 12:00:00
229.46.205.74,61,1044,347,1391,297638,444477,23191521,566894960,4,2022-02-08 12:00:00
46.39.79.251,2,4,0,4,23,17,2833,7418,2,2022-02-08 13:00:00
229.46.205.74,39,340,116,456,98643,139184,7377287,75213523,5,2022-02-08 13:00:00
187.44.158.33,3,27,9,36,121,50,11368,4516,2,2022-02-08 13:00:00
187.44.158.33,4,27,11,38,142,78,13047,12053,3,2022-02-08 14:00:00
229.46.205.74,0,0,0,0,0,0,0,0,0,2022-02-08 14:00:00
46.39.79.251,2,3,0,3,22,16,2743,7328,2,2022-02-08 14:00:00
229.46.205.74,0,0,0,0,0,0,0,0,0,2022-02-08 15:00:00
46.39.79.251,2,5,0,5,24,17,2923,7418,2,2022-02-08 15:00:00
187.44.158.33,14,96,28,124,6340,12097,528549,18055015,5,2022-02-08 15:00:00
187.44.158.33,5,49,10,59,172,98,18644,12046,4,2022-02-08 16:00:00
229.46.205.74,0,0,0,0,0,0,0,0,0,2022-02-08 16:00:00
46.39.79.251,3,20,2,22,174,131,24056,79259,2,2022-02-08 16:00:00
229.46.205.74,0,0,0,0,0,0,0,0,0,2022-02-08 17:00:00
46.39.79.251,2,4,0,4,22,17,2767,7418,2,2022-02-08 17:00:00
187.44.158.33,4,46,8,54,118,72,10150,7662,3,2022-02-08 17:00:00
229.46.205.74,0,0,0,0,0,0,0,0,0,2022-02-08 18:00:00
187.44.158.33,11,86,24,110,1067,1492,104569,1909824,5,2022-02-08 18:00:00
46.39.79.251,2,3,0,3,22,16,2743,7328,2,2022-02-08 18:00:00
46.39.79.251,2,4,0,4,23,17,2833,7418,2,2022-02-09 08:00:00
229.46.205.74,0,0,0,0,0,0,0,0,0,2022-02-09 08:00:00
187.44.158.33,4,27,10,37,118,51,11094,4590,3,2022-02-09 08:00:00
187.44.158.33,4,27,9,36,129,49,12657,4182,3,2022-02-09 09:00:00
229.46.205.74,0,0,0,0,0,0,0,0,0,2022-02-09 09:00:00
46.39.79.251,2,4,0,4,23,19,2833,8139,2,2022-02-09 09:00:00
46.39.79.251,4,24,3,27,200,147,27326,85462,2,2022-02-09 10:00:00
229.46.205.74,113,1007,338,1345,94938,163404,8246359,206974173,4,2022-02-09 10:00:00
187.44.158.33,3,26,7,33,116,41,10604,3602,2,2022-02-09 10:00:00
46.39.79.251,2,4,0,4,23,16,2833,7328,2,2022-02-09 11:00:00
187.44.158.33,4,27,12,39,169,84,18209,11229,3,2022-02-09 11:00:00
229.46.205.74,83,1031,278,1309,431889,780578,33147519,1004878053,4,2022-02-09 11:00:00
187.44.158.33,4,30,9,39,333,270,47697,126501,3,2022-02-09 12:00:00
46.39.79.251,2,4,0,4,23,18,2833,7484,2,2022-02-09 12:00:00
229.46.205.74,17,78,34,112,540,481,108471,272662,3,2022-02-09 12:00:00
187.44.158.33,3,27,9,36,104,53,9415,4868,2,2022-02-09 13:00:00
229.46.205.74,21,66,25,91,1038,1461,191714,1396771,4,2022-02-09 13:00:00
46.39.79.251,2,4,0,4,24,16,2893,7364,2,2022-02-09 13:00:00
229.46.205.74,11,33,12,45,215,175,42770,85293,3,2022-02-09 14:00:00
187.44.158.33,3,28,9,37,108,55,9853,5130,2,2022-02-09 14:00:00
46.39.79.251,2,16,0,16,144,105,18697,68526,2,2022-02-09 14:00:00
46.39.79.251,3,5,1,6,36,17,8841,7416,2,2022-02-09 15:00:00
187.44.158.33,12,49,27,76,3866,7685,325594,11457587,4,2022-02-09 15:00:00
229.46.205.74,15,52,19,71,2768,5026,239307,6332625,3,2022-02-09 15:00:00
229.46.205.74,7,19,5,24,101,80,21557,33092,3,2022-02-09 16:00:00
187.44.158.33,5,29,11,40,901,872,186679,602661,4,2022-02-09 16:00:00
46.39.79.251,3,8,2,10,58,44,8541,18213,2,2022-02-09 16:00:00
187.44.158.33,4,27,11,38,125,64,11807,5784,3,2022-02-09 17:00:00
229.46.205.74,11,36,15,51,237,185,55714,82746,2,2022-02-09 17:00:00
46.39.79.251,2,4,0,4,23,17,2833,7418,2,2022-02-09 17:00:00
187.44.158.33,10,45,25,70,681,809,55280,1052065,3,2022-02-09 18:00:00
229.46.205.74,15,43,17,60,277,221,64107,109527,3,2022-02-09 18:00:00
46.39.79.251,2,4,0,4,23,18,2845,7484,2,2022-02-09 18:00:00
229.46.205.74,30,99,39,138,7744,11071,970104,13371959,3,2022-02-10 08:00:00
187.44.158.33,3,27,11,38,138,68,13344,6340,2,2022-02-10 08:00:00
46.39.79.251,2,4,0,4,23,17,2833,7418,2,2022-02-10 08:00:00
229.46.205.74,17,85,31,116,648,608,99636,443315,4,2022-02-10 09:00:00
187.44.158.33,3,28,12,40,130,75,12147,6954,2,2022-02-10 09:00:00
46.39.79.251,2,4,0,4,23,17,2833,7418,2,2022-02-10 09:00:00
46.39.79.251,3,8,2,10,54,40,8277,15088,2,2022-02-10 10:00:00
229.46.205.74,14,45,18,63,393,427,64235,351152,3,2022-02-10 10:00:00
187.44.158.33,10,49,27,76,6753,12042,565847,18055848,3,2022-02-10 10:00:00
187.44.158.33,5,28,7,35,123,54,13580,8473,4,2022-02-10 11:00:00
229.46.205.74,16,64,25,89,519,532,84051,436595,3,2022-02-10 11:00:00
46.39.79.251,2,3,0,3,22,16,2743,7328,2,2022-02-10 11:00:00
46.39.79.251,2,15,0,15,145,112,18702,69014,2,2022-02-10 12:00:00
187.44.158.33,3,28,11,39,123,65,11294,5988,2,2022-02-10 12:00:00
229.46.205.74,12,33,10,43,185,146,41496,65863,3,2022-02-10 12:00:00
46.39.79.251,2,4,0,4,20,15,2604,7298,2,2022-02-10 13:00:00
229.46.205.74,52,533,208,741,76998,134337,6275774,171917288,4,2022-02-10 13:00:00
187.44.158.33,5,27,9,36,3573,3467,1355075,2200360,4,2022-02-10 13:00:00
187.44.158.33,4,27,10,37,117,62,10006,5764,3,2022-02-10 14:00:00
229.46.205.74,20,60,21,81,354,281,65612,131419,4,2022-02-10 14:00:00
46.39.79.251,2,4,0,4,18,15,2472,7298,2,2022-02-10 14:00:00
46.39.79.251,2,3,0,3,19,14,2514,7208,2,2022-02-10 15:00:00
187.44.158.33,3,27,10,37,129,54,12829,4790,2,2022-02-10 15:00:00
229.46.205.74,11,36,13,49,197,142,36093,55145,4,2022-02-10 15:00:00
229.46.205.74,17,42,17,59,271,221,56528,97029,3,2022-02-10 16:00:00
46.39.79.251,3,7,2,9,57,44,8359,18188,2,2022-02-10 16:00:00
187.44.158.33,6,32,11,43,290,213,47769,112807,4,2022-02-10 16:00:00
187.44.158.33,3,25,11,36,122,64,11204,5898,2,2022-02-10 17:00:00
229.46.205.74,19,52,21,73,345,268,73199,134377,3,2022-02-10 17:00:00
46.39.79.251,2,4,0,4,23,17,2833,7418,2,2022-02-10 17:00:00
46.39.79.251,2,4,0,4,23,17,2833,7418,2,2022-02-10 18:00:00
187.44.158.33,4,27,8,35,258,184,38583,81755,3,2022-02-10 18:00:00
229.46.205.74,15,45,17,62,280,236,62682,144522,3,2022-02-10 18:00:00
229.46.205.74,22,91,31,122,5325,9201,449736,11552916,4,2022-02-11 08:00:00
187.44.158.33,3,25,10,35,122,61,11228,5690,2,2022-02-11 08:00:00
46.39.79.251,5,24,1,25,1046,664,1138084,155829,3,2022-02-11 08:00:00
46.39.79.251,2,4,0,4,22,15,2755,7298,2,2022-02-11 09:00:00
187.44.158.33,3,26,9,35,114,54,10771,4934,2,2022-02-11 09:00:00
229.46.205.74,24,78,26,104,2553,2977,264341,3521893,4,2022-02-11 09:00:00
46.39.79.251,4,14,2,16,813,513,926657,95582,3,2022-02-11 10:00:00
187.44.158.33,4,30,10,40,161,61,19964,10200,3,2022-02-11 10:00:00
229.46.205.74,15,53,20,73,407,366,77747,231551,3,2022-02-11 10:00:00
46.39.79.251,3,6,1,7,40,30,7451,13373,2,2022-02-11 11:00:00
187.44.158.33,5,31,8,39,135,64,14025,9593,4,2022-02-11 11:00:00
229.46.205.74,11,43,17,60,320,297,48520,175943,3,2022-02-11 11:00:00
46.39.79.251,2,15,0,15,145,104,18739,68574,2,2022-02-11 12:00:00
229.46.205.74,14,54,21,75,330,256,60687,104554,3,2022-02-11 12:00:00
187.44.158.33,5,28,8,36,1615,1638,349098,1146676,4,2022-02-11 12:00:00
46.39.79.251,2,4,0,4,23,17,2833,7418,2,2022-02-11 13:00:00
187.44.158.33,3,26,8,34,106,47,9745,4308,2,2022-02-11 13:00:00
229.46.205.74,17,49,20,69,301,231,70958,109773,3,2022-02-11 13:00:00
229.46.205.74,16,38,15,53,245,200,45221,105818,3,2022-02-11 14:00:00
187.44.158.33,3,27,8,35,112,47,10173,4308,2,2022-02-11 14:00:00
46.39.79.251,4,10,10,20,7780,11561,638422,17458197,3,2022-02-11 14:00:00
229.46.205.74,66,1105,348,1453,90587,136717,8467996,171256932,4,2022-02-11 15:00:00
46.39.79.251,2,4,0,4,20,15,2604,7298,2,2022-02-11 15:00:00
187.44.158.33,3,26,10,36,122,56,11971,5076,2,2022-02-11 15:00:00
46.39.79.251,3,19,2,21,176,126,24088,78894,2,2022-02-11 16:00:00
187.44.158.33,3,26,10,36,112,55,10520,4986,2,2022-02-11 16:00:00
229.46.205.74,13,38,14,52,215,159,41663,64393,3,2022-02-11 16:00:00
46.39.79.251,2,3,0,3,22,18,2743,7489,2,2022-02-11 17:00:00
187.44.158.33,3,26,11,37,120,68,10906,6340,2,2022-02-11 17:00:00
229.46.205.74,16,53,21,74,368,332,76992,207374,3,2022-02-11 17:00:00
229.46.205.74,13,31,11,42,180,141,39953,64857,3,2022-02-11 18:00:00
187.44.158.33,3,26,10,36,119,60,11267,5494,2,2022-02-11 18:00:00
46.39.79.251,2,4,0,4,23,18,2833,7484,2,2022-02-11 18:00:00
187.44.158.33,10,47,25,72,730,802,59732,1048748,3,2022-02-14 08:00:00
229.46.205.74,19,58,25,83,1346,2048,243490,1968264,3,2022-02-14 08:00:00
46.39.79.251,3,5,1,6,36,31,5126,13403,2,2022-02-14 08:00:00
229.46.205.74,14,54,19,73,332,247,70488,116180,3,2022-02-14 09:00:00
46.39.79.251,2,4,0,4,22,19,2779,7550,2,2022-02-14 09:00:00
187.44.158.33,3,25,11,36,126,68,11168,6340,2,2022-02-14 09:00:00
46.39.79.251,0,0,0,0,0,0,0,0,0,2022-02-14 10:00:00
229.46.205.74,20,100,318,418,56554,76427,4738067,98412154,3,2022-02-14 10:00:00
187.44.158.33,3,15,6,21,87,43,8047,4026,2,2022-02-14 10:00:00
229.46.205.74,12,40,18,58,261,210,53403,100333,3,2022-02-14 11:00:00
46.39.79.251,4,10,4,14,180,204,15139,275826,3,2022-02-14 11:00:00
187.44.158.33,4,28,11,39,155,80,16574,10979,3,2022-02-14 11:00:00
187.44.158.33,3,30,11,41,138,66,12811,6202,2,2022-02-14 12:00:00
46.39.79.251,2,15,0,15,145,110,18739,74977,2,2022-02-14 12:00:00
229.46.205.74,11,33,11,44,195,152,41764,62067,3,2022-02-14 12:00:00
46.39.79.251,2,4,0,4,23,17,2833,7418,2,2022-02-14 13:00:00
229.46.205.74,8,24,7,31,124,94,23029,42144,3,2022-02-14 13:00:00
187.44.158.33,3,27,10,37,141,59,13124,5428,2,2022-02-14 13:00:00
46.39.79.251,2,4,0,4,23,17,2833,7418,2,2022-02-14 14:00:00
229.46.205.74,14,40,16,56,266,216,50877,119880,3,2022-02-14 14:00:00
187.44.158.33,4,27,10,37,153,101,24556,53701,3,2022-02-14 14:00:00
46.39.79.251,3,7,1,8,43,31,5644,13427,2,2022-02-14 15:00:00
187.44.158.33,5,29,12,41,155,72,16211,16596,4,2022-02-14 15:00:00
229.46.205.74,11,30,10,40,176,140,36578,65798,3,2022-02-14 15:00:00
46.39.79.251,4,21,3,24,190,143,28335,86084,2,2022-02-14 16:00:00
229.46.205.74,12,40,15,55,257,194,56889,88367,3,2022-02-14 16:00:00
187.44.158.33,3,27,10,37,148,56,14195,5076,2,2022-02-14 16:00:00
187.44.158.33,28,195,76,271,211459,422596,16333593,625064986,4,2022-02-14 17:00:00
46.39.79.251,2,4,0,4,23,26,2881,18489,2,2022-02-14 17:00:00
229.46.205.74,16,45,18,63,349,363,64106,277085,3,2022-02-14 17:00:00
229.46.205.74,14,44,16,60,265,198,54698,82366,3,2022-02-14 18:00:00
46.39.79.251,2,4,0,4,23,17,2833,7418,2,2022-02-14 18:00:00
187.44.158.33,11,48,27,75,6185,11376,528711,16932928,4,2022-02-14 18:00:00
46.39.79.251,2,4,0,4,23,17,2833,7418,2,2022-02-15 08:00:00
229.46.205.74,21,66,27,93,1705,2669,285532,2708942,3,2022-02-15 08:00:00
187.44.158.33,3,26,12,38,131,71,11830,6548,2,2022-02-15 08:00:00
229.46.205.74,16,54,18,72,302,226,51812,115449,4,2022-02-15 09:00:00
46.39.79.251,2,4,0,4,23,17,2833,7418,2,2022-02-15 09:00:00
187.44.158.33,4,28,10,38,160,105,25501,54173,3,2022-02-15 09:00:00
229.46.205.74,139,888,369,1257,309098,607641,26675045,719532623,5,2022-02-15 10:00:00
187.44.158.33,3,26,8,34,99,48,9251,4398,2,2022-02-15 10:00:00
46.39.79.251,3,8,2,10,55,41,8291,18025,2,2022-02-15 10:00:00
187.44.158.33,5,32,11,43,158,89,17812,16648,3,2022-02-15 11:00:00
46.39.79.251,2,3,0,3,21,14,2665,7208,2,2022-02-15 11:00:00
229.46.205.74,69,591,212,803,277661,541999,21404154,696884020,5,2022-02-15 11:00:00
229.46.205.74,14,45,19,64,3781,5310,2192678,1491133,3,2022-02-15 12:00:00
187.44.158.33,3,26,7,33,115,41,10301,3748,2,2022-02-15 12:00:00
46.39.79.251,3,6,1,7,41,31,5496,13427,2,2022-02-15 12:00:00
187.44.158.33,3,26,10,36,128,61,11830,5690,2,2022-02-15 13:00:00
46.39.79.251,2,4,0,4,23,17,2833,7418,2,2022-02-15 13:00:00
229.46.205.74,18,54,21,75,3840,5218,2197685,1490838,4,2022-02-15 13:00:00
229.46.205.74,59,718,251,969,167663,349776,14297205,428902893,6,2022-02-15 14:00:00
187.44.158.33,3,27,10,37,131,70,11665,6224,2,2022-02-15 14:00:00
46.39.79.251,2,4,0,4,20,15,2604,7298,2,2022-02-15 14:00:00
46.39.79.251,2,3,0,3,23,20,2890,9103,2,2022-02-15 15:00:00
