ip,ds,y
187.44.158.33,2022-02-24 08:00:00,4
187.44.158.33,2022-02-24 09:00:00,4
187.44.158.33,2022-02-24 10:00:00,4
187.44.158.33,2022-02-24 11:00:00,6
187.44.158.33,2022-02-24 12:00:00,4
187.44.158.33,2022-02-24 13:00:00,4
187.44.158.33,2022-02-24 14:00:00,4
187.44.158.33,2022-02-24 15:00:00,4
187.44.158.33,2022-02-24 16:00:00,4
187.44.158.33,2022-02-24 17:00:00,5
187.44.158.33,2022-02-24 18:00:00,4
187.44.158.33,2022-02-25 08:00:00,4
187.44.158.33,2022-02-25 09:00:00,6
187.44.158.33,2022-02-25 10:00:00,4
187.44.158.33,2022-02-25 11:00:00,5
187.44.158.33,2022-02-25 12:00:00,5
187.44.158.33,2022-02-25 13:00:00,5
187.44.158.33,2022-02-25 14:00:00,4
187.44.158.33,2022-02-25 15:00:00,4
187.44.158.33,2022-02-25 16:00:00,4
187.44.158.33,2022-02-25 17:00:00,4
187.44.158.33,2022-02-25 18:00:00,4
187.44.158.33,2022-02-28 08:00:00,4
187.44.158.33,2022-02-28 09:00:00,4
187.44.158.33,2022-02-28 10:00:00,4
187.44.158.33,2022-02-28 11:00:00,5
187.44.158.33,2022-02-28 12:00:00,4
187.44.158.33,2022-02-28 13:00:00,4
187.44.158.33,2022-02-28 14:00:00,4
187.44.158.33,2022-02-28 15:00:00,4
187.44.158.33,2022-02-28 16:00:00,4
187.44.158.33,2022-02-28 17:00:00,5
187.44.158.33,2022-02-28 18:00:00,4
187.44.158.33,2022-03-01 08:00:00,4
187.44.158.33,2022-03-01 09:00:00,5
187.44.158.33,2022-03-01 10:00:00,4
187.44.158.33,2022-03-01 11:00:00,5
187.44.158.33,2022-03-01 12:00:00,4
187.44.158.33,2022-03-01 13:00:00,5
187.44.158.33,2022-03-01 15:00:00,4
187.44.158.33,2022-03-01 16:00:00,4
187.44.158.33,2022-03-01 17:00:00,5
187.44.158.33,2022-03-01 18:00:00,4
187.44.158.33,2022-03-02 08:00:00,5
187.44.158.33,2022-03-02 09:00:00,5
187.44.158.33,2022-03-02 10:00:00,5
187.44.158.33,2022-03-02 11:00:00,6
187.44.158.33,2022-03-02 12:00:00,5
